MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10304661203,000000000022156102,0.648,Active Import Interval (kW),24-03-2025 02:30
10304661203,000000000022156102,1.662,Active Import Interval (kW),24-03-2025 02:00
10304661203,000000000022156102,1.804,Active Import Interval (kW),24-03-2025 01:30
10304661203,000000000022156102,0.442,Active Import Interval (kW),24-03-2025 01:00
10304661203,000000000022156102,0.486,Active Import Interval (kW),24-03-2025 00:30
10304661203,000000000022156102,0.670,Active Import Interval (kW),24-03-2025 00:00
10304661203,000000000022156102,3.434,Active Import Interval (kW),23-03-2025 23:30
10304661203,000000000022156102,2.082,Active Import Interval (kW),23-03-2025 23:00
10304661203,000000000022156102,2.280,Active Import Interval (kW),23-03-2025 22:30
10304661203,000000000022156102,0.888,Active Import Interval (kW),23-03-2025 22:00
10304661203,000000000022156102,2.208,Active Import Interval (kW),23-03-2025 21:30
10304661203,000000000022156102,1.156,Active Import Interval (kW),23-03-2025 21:00
10304661203,000000000022156102,1.944,Active Import Interval (kW),23-03-2025 20:30
10304661203,000000000022156102,1.896,Active Import Interval (kW),23-03-2025 20:00
10304661203,000000000022156102,0.386,Active Import Interval (kW),23-03-2025 19:30
10304661203,000000000022156102,0.390,Active Import Interval (kW),23-03-2025 19:00
10304661203,000000000022156102,0.550,Active Import Interval (kW),23-03-2025 18:30
10304661203,000000000022156102,0.556,Active Import Interval (kW),23-03-2025 18:00
10304661203,000000000022156102,0.388,Active Import Interval (kW),23-03-2025 17:30
10304661203,000000000022156102,0.668,Active Import Interval (kW),23-03-2025 17:00
10304661203,000000000022156102,1.828,Active Import Interval (kW),23-03-2025 16:30
10304661203,000000000022156102,1.178,Active Import Interval (kW),23-03-2025 16:00
10304661203,000000000022156102,1.522,Active Import Interval (kW),23-03-2025 15:30
10304661203,000000000022156102,1.502,Active Import Interval (kW),23-03-2025 15:00
10304661203,000000000022156102,0.348,Active Import Interval (kW),23-03-2025 14:30
10304661203,000000000022156102,0.806,Active Import Interval (kW),23-03-2025 14:00
10304661203,000000000022156102,3.072,Active Import Interval (kW),23-03-2025 13:30
10304661203,000000000022156102,0.402,Active Import Interval (kW),23-03-2025 13:00
10304661203,000000000022156102,0.484,Active Import Interval (kW),23-03-2025 12:30
10304661203,000000000022156102,0.262,Active Import Interval (kW),23-03-2025 12:00
10304661203,000000000022156102,0.256,Active Import Interval (kW),23-03-2025 11:30
10304661203,000000000022156102,1.074,Active Import Interval (kW),23-03-2025 11:00
10304661203,000000000022156102,0.750,Active Import Interval (kW),23-03-2025 10:30
10304661203,000000000022156102,0.330,Active Import Interval (kW),23-03-2025 10:00
10304661203,000000000022156102,0.474,Active Import Interval (kW),23-03-2025 09:30
10304661203,000000000022156102,0.342,Active Import Interval (kW),23-03-2025 09:00
10304661203,000000000022156102,0.822,Active Import Interval (kW),23-03-2025 08:30
10304661203,000000000022156102,0.624,Active Import Interval (kW),23-03-2025 08:00
10304661203,000000000022156102,0.240,Active Import Interval (kW),23-03-2025 07:30
10304661203,000000000022156102,0.258,Active Import Interval (kW),23-03-2025 07:00
10304661203,000000000022156102,0.262,Active Import Interval (kW),23-03-2025 06:30
10304661203,000000000022156102,0.252,Active Import Interval (kW),23-03-2025 06:00
10304661203,000000000022156102,1.292,Active Import Interval (kW),23-03-2025 05:30
10304661203,000000000022156102,0.258,Active Import Interval (kW),23-03-2025 05:00
10304661203,000000000022156102,0.256,Active Import Interval (kW),23-03-2025 04:30
10304661203,000000000022156102,0.256,Active Import Interval (kW),23-03-2025 04:00
10304661203,000000000022156102,0.260,Active Import Interval (kW),23-03-2025 03:30
10304661203,000000000022156102,0.276,Active Import Interval (kW),23-03-2025 03:00
10304661203,000000000022156102,0.330,Active Import Interval (kW),23-03-2025 02:30
10304661203,000000000022156102,0.348,Active Import Interval (kW),23-03-2025 02:00
10304661203,000000000022156102,0.360,Active Import Interval (kW),23-03-2025 01:30
10304661203,000000000022156102,0.370,Active Import Interval (kW),23-03-2025 01:00
10304661203,000000000022156102,0.370,Active Import Interval (kW),23-03-2025 00:30
10304661203,000000000022156102,1.674,Active Import Interval (kW),23-03-2025 00:00
10304661203,000000000022156102,0.640,Active Import Interval (kW),22-03-2025 23:30
10304661203,000000000022156102,0.950,Active Import Interval (kW),22-03-2025 23:00
10304661203,000000000022156102,0.740,Active Import Interval (kW),22-03-2025 22:30
10304661203,000000000022156102,2.646,Active Import Interval (kW),22-03-2025 22:00
10304661203,000000000022156102,2.472,Active Import Interval (kW),22-03-2025 21:30
10304661203,000000000022156102,1.110,Active Import Interval (kW),22-03-2025 21:00
10304661203,000000000022156102,1.254,Active Import Interval (kW),22-03-2025 20:30
10304661203,000000000022156102,1.258,Active Import Interval (kW),22-03-2025 20:00
10304661203,000000000022156102,2.590,Active Import Interval (kW),22-03-2025 19:30
10304661203,000000000022156102,1.320,Active Import Interval (kW),22-03-2025 19:00
10304661203,000000000022156102,1.912,Active Import Interval (kW),22-03-2025 18:30
10304661203,000000000022156102,1.220,Active Import Interval (kW),22-03-2025 18:00
10304661203,000000000022156102,0.542,Active Import Interval (kW),22-03-2025 17:30
10304661203,000000000022156102,2.142,Active Import Interval (kW),22-03-2025 17:00
10304661203,000000000022156102,0.588,Active Import Interval (kW),22-03-2025 16:30
10304661203,000000000022156102,0.592,Active Import Interval (kW),22-03-2025 16:00
10304661203,000000000022156102,0.608,Active Import Interval (kW),22-03-2025 15:30
10304661203,000000000022156102,0.602,Active Import Interval (kW),22-03-2025 15:00
10304661203,000000000022156102,0.470,Active Import Interval (kW),22-03-2025 14:30
10304661203,000000000022156102,0.652,Active Import Interval (kW),22-03-2025 14:00
10304661203,000000000022156102,3.864,Active Import Interval (kW),22-03-2025 13:30
